Timestamp,Gender,Age,Ethnicity,Transfer,Citizenship,First Generation?,High School GPA,What's your major/s?,Is your major/majors STEM/non-STEM?,,High School GPA,Do you get financial aid?,Do you work?,"If you work, how many hours a week?(0 if you don't work)",My high school/community college preparation prepared me for my courses at UCLA.,My high school prepared me for my major courses. ,"Prior to college, I could connect with my educators.",My study techniques prior to college were ineffective for my UCLA courses and made me fall behind.,"When entering UCLA, I was not informed of all the resources I could use.",Being an underrepresented minority helps me get more support from professors.,From a gender point of view I can identify with my professors.,From an ethnic point of view I identify with my professors.,My professors understand the challenges of minority students in higher education.,"When I go to office hours, I feel like my questions are elementary compared to others.",Professors should learn about the challenges minority students face in higher education.,I’ve had experiences with academic counseling that makes me feel like I don’t belong in school.,"When placed in group work, team members give me support and treat me equally.",My peers in my major are very competitive.,I feel there’s a sense of community among my peers in my classes.,I feel my peers support when I have an academic accomplishment.,My peers do not understand my challenges as a minority student.,I do not feel like I belong because I am a minority and others don’t share my challenges.,I have study groups with my peers.,Diversity in higher education is encouraged but not enough is done to help retain minority students.,My family does not understand the challenges of being in higher education.,I find my classes enjoyable and applicable to my life/future plans.,I go to office hours.,I speak to professors outside of office hours.,I plan to go to graduate school.,What is your major challenge at UCLA?,What is your best part about your UCLA experience?,What could improve your experience at UCLA?,UCLA GPA
5/2/2019 1:01:29,Female,22,,No,"Undocumented, AB540",,3.3,Applied Mathematics/Statistics,STEM,,3.3,Yes,No,0,1,1,7,7,7,5,4,1,6,4,7,7,3,7,5,3,6,6,5,7,6,6,Yes,Yes,Yes,Grades and reaching out to people.,The support system from my professors and my friends.,Knowing about certain resources available to me.,
5/2/2019 2:24:13,Female,21,Hispanic/Latino/a,No,Citizen,Yes,4.2,Chicana/o/x Studies & Education Studies Minor,non-STEM,,,Yes,Yes,10,5,4,7,4,6,4,7,7,6,2,7,7,6,2,7,7,2,2,7,6,6,7,Yes,Yes,Yes,My major challenge at UCLA has been navigating an institution both efficiently and strategically. There are many opportunities offered to Students of Color that it feels overwhelming how to go about the process of initiation.  ,The best part of my UCLA experience has been building community and learning alongside my peers (whether it be through coursework or learning from their lived experiences).,I can't decipher an improvement at the moment ,
5/2/2019 3:02:35,Female,21,Hispanic/Latino/a,No,Citizen,No,3.97,Biochemsitry,STEM,,,Yes,No,0,3,3,6,7,7,4,6,3,2,6,7,5,7,7,6,6,3,3,7,4,3,7,Yes,Yes,Yes,Fitting in when I first arrived ,Frat,Tell incoming students about AAP,
5/2/2019 3:08:12,Female,21,Hispanic/Latino/a,No,Citizen,Yes,3.8,Sociology ,non-STEM,,,Yes,Yes,16,5,3,3,6,6,5,4,5,6,7,4,2,5,5,7,7,5,3,3,7,5,6,Review sessions,No,Yes,Not having to opportunity to put theory into practice so the concepts learned are not fully solidified as much as I’d like them to be.,"I have found my community within the school, which some people are not lucky enough to find.","Intertwining theory with practice in my classes as well as improving the classrooms and building located in north campus (ie. Bunche desks, cleaner water fountains, put outlets on the desks like south campus buildings have) ",
5/2/2019 3:14:15,Male,23,Hispanic/Latino/a,No,Citizen,Yes,4.4,Statistics,STEM,,,Yes,Yes,18,3,3,7,7,6,4,4,4,4,3,1,1,7,6,4,7,4,1,1,1,4,6,No,No,No,Motivation to work without an end goal career-wise in mind. ,Work. I have enjoyed it much more than most of my studies until my final quarter.,Fewer GE requirements or at least allowing more classes to qualify as GEs. Less of a slant in teaching politicized subjects and a campus environment that encourages more free speech. ,
5/2/2019 3:19:18,Female,21,Southeast Asian American,No,Citizen,Yes,4.88,Biochemistry,STEM,,,Yes,Yes,18.75,4,3,2,6,7,3,2,3,3,7,7,5,1,6,3,3,6,3,4,7,5,5,Yes,No,Maybe,Connecting to professors and being able to talk comfortable,Making friends,Knowing resources early on and having professors be more understanding of being a minority student,
5/2/2019 4:02:10,Female,21,Hispanic/Latino/a,Yes,Permanent Resident,Yes,3.37,Psychology ,STEM,,,Yes,No,0,5,3,3,4,2,3,4,3,4,4,7,6,6,7,3,4,5,4,3,6,5,6,"Sometimes, not very often ",No,Yes,"Not being able to identify with other students from my major. For example, some are very competitive and talkative because that’s what they have done all their life and school has been something very important in their life. ",Being able to join groups/clubs in which I feel welcomed. Like we share the same backgrounds or cultures,More support on how to finish a degree or how to join labs,
5/2/2019 5:11:49,Female,21,South Asian,No,Citizen,No,4.4,Anthro,"non-STEM, STEM",,,Yes,Yes,12,4,5,5,5,5,5,5,6,4,5,6,6,5,6,5,5,6,6,5,5,6,7,Yes,No,Yes,Na,Na,Less money,
5/2/2019 5:52:25,Male,20,Southeast Asian American,No,Citizen,No,4.9,Financial Actuarial Mathematics ,STEM,,,No,Yes,7,6,6,5,2,5,3,4,4,4,4,4,1,7,6,3,4,2,2,4,3,2,3,No,No,Maybe,Stress management ,The people ,Better teachers,
5/2/2019 7:16:49,Female,22,Hispanic/Latino/a,Yes,Citizen,Yes,3.82,Psychology,non-STEM,,,Yes,Yes,36,3,3,3,4,5,3,5,4,5,4,7,4,5,7,5,5,3,6,5,4,7,5,No,Yes,Yes,Financial aid ,Prestige status,Not having to work almost full time to attend school ,
5/2/2019 9:05:21,Female,20,Chinese (not southeast Asian) ,No,Citizen,Yes,4.2,Statistics ,STEM,,,Yes,Yes,10,1,1,1,7,5,2,4,4,1,7,7,4,4,7,1,2,6,6,6,7,5,5,No,No,No,Finding an internship,Joining clubs and making memories with friends. We do things without parents telling us what to do and it is amazing how the activities we've done are things that are extremely spontaneous. ,Not getting rejected from clubs because of the little-to-no experience. ,3.3
5/2/2019 11:41:08,Female,21,South Asian American,No,Citizen,Yes,0,MCDB,STEM,,,Yes,Yes,10,5,5,7,6,7,3,6,3,5,4,7,3,7,7,2,7,2,2,3,4,6,2,Yes,No,Yes,"Research-oriented University, so it didn’t prepare me with skills applicable to career.",Lots of resources available for underrepresented and struggling students ,Advisors and counselors more easy to reach ,2.53
5/2/2019 16:36:09,Female,20,Hispanic/Latino/a,No,Citizen,No,4,Communications and Psychology,non-STEM,,,Yes,Yes,18,7,2,5,1,6,1,4,2,3,4,6,1,4,5,4,6,6,3,4,5,1,3,sometimes,No,No,motivation,freedom,accessibility & acknowledgment,3.9
5/2/2019 19:28:09,Female,21,Hispanic/Latino/a,No,Citizen,Yes,4.2,Biology,STEM,,,Yes,Yes,12,4,4,6,3,3,3,5,3,4,4,7,5,6,5,4,4,3,3,4,4,5,4,Yes,No,Yes,My major challenge at UCLA is connecting with professors and doing well in the STEM classes.,The best part of being at UCLA has been getting the support of my friends and peers that understand the struggle of being first-generation.,Something that can improve my experience at UCLA would be having swipes for commuters or more support for commuters in terms of review sessions since they are mostly hosted late in the evening at the Hill and that poses a challenge because although they are beneficial for my grade I sometimes end up going home around 11 or 12pm.,3.1
5/4/2019 2:42:14,Female,19,Hispanic/Latino/a,No,Citizen,Yes,4.6,biology,STEM,,,Yes,No,0,4,3,6,6,5,1,3,1,4,6,4,4,6,5,5,3,4,5,5,5,6,6,No,No,Yes,"a major challenge is connecting with professors. in high school, it was easy to connect with teachers because they did not have many students. here, classes are usually over 200 students, and many office hours are always full, so that is what I find difficult. Also, it is really hard to find scholarships because I do not know where to look.","the best part about my UCLA experience is joining the marching band because they are people that share a similar interest, and a large portion of them are STEM majors, so I know I can ask them for help with homework or other class-related material.",I would like if it was made easier to find scholarships and clubs because I do not know where to look for either.,3.2
5/4/2019 15:33:28,Female,20,African American/Black,No,Citizen,No,4.3,Sociology,non-STEM,,,Yes,Yes,15,1,2,7,5,6,1,1,1,3,4,6,4,3,2,4,4,6,6,3,7,7,5,No,No,Maybe,Not feeling connected to UCLA which causes a lack of motivation. ,Working on campus ,Better publicized resources that benefit underrepresented communities and UCLA sponsored events for those communities ,2.8
5/4/2019 19:00:36,Female,21,Hispanic/Latino/a,No,Citizen,No,4.5,Statistics ,STEM,,,Yes,Yes,4,5,3,7,2,6,3,4,3,3,6,5,4,6,5,4,3,5,5,5,6,3,5,Yes,Yes,Maybe,"My major challenge at UCLA is that professors teach too quickly for me. I think that they assume that everyone is on the same higher level, when in reality I would like step by step instructions. In high school, my teachers would go through math step by step and I could easily follow along. ",The friends that I met my third year. Also a mentor that I gained by working for UCLA recreation. She changed my life and gave me confidence when I struggled severely my freshman and sophomore year. ,"If I had met my friends earlier. Also, I should have joined a business related club since it is a field I am interested in. Finally, I regret residing in De Neve Plaza freshman year. A lot of the people on my floor were wealthy and very different from me. I could not relate to them and struggled to make friends. ",3.6
5/5/2019 23:07:03,Male,21,African American/Black,No,Citizen,No,2.9,Psychology,non-STEM,,,Yes,No,0,4,4,5,7,1,3,1,2,3,5,5,7,3,6,6,5,5,4,5,5,6,2,sometimes,Yes,Maybe,Being poor,Meeting people ,If I were rich or smart enough for a marketable major. ,2.9
5/6/2019 5:04:35,Female,21,Southeast Asian American,No,Citizen,No,3.9,Bioengineering,STEM,,,No,No,0,5,2,6,4,3,1,3,4,2,6,2,2,3,5,6,5,5,2,5,3,5,5,Yes,No,Yes,"I feel like all the information I learn in class is irrelevant and won’t ever be used, and all the skills I’ve learned that will get me hired are from clubs and labs I’m involved in.",New friends and independence,More hands on classes like labs and less listening to lectures,3.6
5/6/2019 17:31:42,Female,20,Hispanic/Latino/a,No,DACA,Yes,4.3,Spanish ,non-STEM,,,Yes,Yes,10,3,6,6,7,7,2,3,5,4,4,7,6,6,5,5,3,3,3,2,6,6,5,Rarely,Yes,Yes,Writing constructive essay papers. ,Meeting new people. ,Changing from a quarter system to a semester system. ,3
5/6/2019 22:51:50,Male,20,Hispanic/Latino/a,No,Citizen,Yes,4.5,Stats,STEM,,,Yes,Yes,10,4,3,7,3,2,2,4,3,2,5,3,5,5,5,5,6,2,3,4,4,4,4,No,No,Maybe,Academics,People,If it wasn’t so expensive ,3.5
